time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7,Axis 8
0.462,-6.569670684070985,7.7172287074050345,12.518273747220473,12.52951659783568,15.571160803984224,-6.844198233964021,-30.082097644432913,-27.9665183913326
0.463,-6.629051262063074,7.636471786805996,12.509338820195605,12.545226443542472,15.67608640807346,-6.649101719123015,-30.03595595071394,-28.017094451397327
0.464,-6.688431840055164,7.555714866206957,12.500403893170736,12.560936289249263,15.781012012162694,-6.45400520428201,-29.98981425699497,-28.067670511462055
0.465,-6.747812418047253,7.474957945607919,12.491468966145868,12.576646134956052,15.88593761625193,-6.2589086894410055,-29.943672563275996,-28.11824657152678
0.466,-6.807192996039342,7.39420102500888,12.482534039121001,12.592355980662843,15.990863220341165,-6.063812174600001,-29.897530869557027,-28.168822631591507
0.467,-6.866573574031431,7.313444104409841,12.473599112096132,12.608065826369634,16.0957888244304,-5.868715659758996,-29.851389175838055,-28.21939869165623
0.468,-6.925954152023521,7.232687183810803,12.464664185071264,12.623775672076425,16.200714428519635,-5.673619144917991,-29.805247482119082,-28.26997475172096
0.46900000000000003,-6.985334730015611,7.151930263211764,12.455729258046395,12.639485517783216,16.30564003260887,-5.478522630076986,-29.75910578840011,-28.320550811785687
0.47000000000000003,-7.044715308007699,7.071173342612726,12.446794331021527,12.655195363490005,16.410565636698102,-5.283426115235979,-29.712964094681137,-28.371126871850414
0.47100000000000003,-7.104095885999789,6.990416422013687,12.437859403996658,12.670905209196796,16.51549124078734,-5.0883296003949745,-29.666822400962168,-28.42170293191514
0.47200000000000003,-7.163476463991879,6.909659501414649,12.42892447697179,12.686615054903587,16.620416844876573,-4.89323308555397,-29.620680707243196,-28.472278991979866
0.47300000000000003,-7.222857041983968,6.82890258081561,12.419989549946923,12.702324900610378,16.72534244896581,-4.698136570712965,-29.574539013524223,-28.522855052044594
0.47400000000000003,-7.2779031732423265,6.75413827575714,12.399834254073227,12.712180457507946,16.81815680554297,-4.498125927385362,-29.50112979049968,-28.568002655947765
0.47500000000000003,-7.323558003244273,6.692357971036565,12.355368159027083,12.709351721985538,16.884730125843976,-4.287468005670133,-29.368640920646403,-28.601388604834234
0.47600000000000003,-7.369212833246219,6.6305776663159905,12.310902063980938,12.70652298646313,16.95130344614498,-4.0768100839549035,-29.23615205079313,-28.634774553720703
0.47700000000000004,-7.414867663248164,6.568797361595416,12.266435968934793,12.703694250940721,17.017876766445987,-3.8661521622396746,-29.103663180939858,-28.668160502607176
0.47800000000000004,-7.46052249325011,6.507017056874841,12.221969873888648,12.700865515418313,17.08445008674699,-3.6554942405244457,-28.971174311086585,-28.701546451493645
