1.7936,0.99577,1.0228,1.1099,0.93869,0.99823,1.0575,1.267,1.479,1.8922,1.9832,1.8691,1.7854,1.7113,1.749,1.6614,1.2123,1.3494,1.7651,1.9774,1.8625,1.8324,2.2634,2.7453,3.1973,3.6605,3.7573,3.4381,3.2299,3.096,3.0361,3.0386,3.3462,3.2477,2.8142
1.5604,0.9512,0.91319,0.87123,0.89307,1.0361,1.0177,1.1594,1.4368,1.8905,2.0813,1.9883,1.8679,1.8918,1.9053,1.6853,1.155,1.3546,1.8663,2.2252,2.1271,1.9176,2.134,2.5132,2.9238,3.3671,3.5798,3.5454,3.6034,3.6567,3.6106,3.4548,3.5187,3.4824,3.0334
1.3223,0.8382,0.81586,0.73015,0.88493,1.0867,1.06,1.0969,1.3526,1.6878,1.9751,1.9786,1.8337,1.8961,1.996,1.7713,1.1745,1.3837,1.9069,2.3302,2.3144,2.0701,1.9948,2.1395,2.5499,2.9466,3.1976,3.4393,3.7477,4.0529,4.1423,3.8805,3.5581,3.4743,3.0825
1.2725,0.72105,0.81288,0.85504,0.94721,1.1135,1.1531,1.1008,1.2135,1.3762,1.7253,1.8596,1.744,1.7604,2.0074,1.8978,1.3121,1.4986,1.9629,2.3019,2.3779,2.2465,2.0561,1.8975,2.2703,2.7094,2.9437,3.2797,3.7592,4.247,4.5318,4.34,3.7685,3.4472,3.0473
1.4866,0.7014,0.90012,1.1367,1.0699,1.103,1.2303,1.1608,1.0967,1.1284,1.4607,1.7097,1.7019,1.6116,1.951,1.9823,1.4783,1.6631,2.0235,2.1998,2.3626,2.4007,2.3793,2.0594,2.1289,2.7074,3.0284,3.14,3.687,4.2503,4.7056,4.7556,4.3134,3.768,3.1646
1.7571,0.75664,0.97585,1.3253,1.1439,1.0556,1.2586,1.2646,1.139,1.1059,1.2832,1.5757,1.7163,1.5575,1.8351,1.9238,1.5354,1.7593,2.0219,2.1071,2.3391,2.5405,2.8062,2.5353,2.2621,2.9315,3.3468,3.0258,3.4436,3.9919,4.5622,4.8901,4.8373,4.3264,3.5107
1.8759,0.80484,0.97165,1.2512,1.061,0.97571,1.2472,1.3645,1.3248,1.2864,1.258,1.4609,1.6755,1.5811,1.7141,1.7083,1.4165,1.6939,1.9245,2.0624,2.3096,2.6482,3.1547,3.0884,2.7746,3.3072,3.6119,3.0036,2.993,3.4118,4.077,4.6211,4.9716,4.715,3.9263
1.8225,0.83954,0.95214,1.025,0.94909,0.98132,1.2313,1.419,1.5317,1.5517,1.437,1.4387,1.5619,1.6208,1.6887,1.5066,1.2481,1.5716,1.8301,2.0619,2.2614,2.6851,3.3588,3.6481,3.5623,3.7143,3.7304,3.2414,2.8345,2.9768,3.6117,4.1666,4.6806,4.6976,4.1711
1.7213,0.89494,1.0491,1.0318,1.1012,1.184,1.2431,1.4318,1.6994,1.8624,1.8179,1.6639,1.5822,1.7248,1.8446,1.6029,1.3137,1.6337,1.8923,2.1286,2.2285,2.643,3.4238,4.1002,4.3061,4.1559,3.9917,3.8325,3.5048,3.4289,3.7772,4.0103,4.2601,4.3736,4.2032
1.7293,1.006,1.2575,1.2791,1.4467,1.521,1.3568,1.4785,1.8685,2.2305,2.3377,2.1148,1.8517,1.981,2.193,2.0107,1.6713,1.93,2.158,2.3231,2.3085,2.6474,3.5027,4.4995,4.9644,4.7069,4.6,4.7844,4.7191,4.5723,4.6502,4.4863,4.1876,4.1579,4.2918
