time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7,Axis 8,Left Shoulder-yaw,Left Shoulder-pitch,Left Shoulder-roll,Left Elbow,Right Shoulder-yaw,Right Shoulder-pitch,Right Shoulder-roll,Right Elbow,Left Hip-yaw,Left Hip-pitch,Left Hip-roll,Left Knee,Right Hip-yaw,Right Hip-pitch,Right Hip-roll,Right Knee
0.867,4.3305735084132575,9.031622922134538,9.876834464593616,1.1886544994725887,-11.249910982362756,-11.020156591085623,2.54763544825898,3.696528841876324,-3.8264099999999903,2.5917196999999947,65.600309,64.11499,-34.47317100000001,-9.313453099999997,32.18430600000001,86.02414100000001,-14.59278999999999,-4.194239699999998,37.74334199999999,72.7836,11.431722999999945,-25.71618399999999,63.94510900000001,50.38943000000002
0.868,4.328368669974681,9.164546862740453,9.955898449470808,1.221525523677776,-11.331996002543915,-11.13426097431328,2.5639951071367655,3.708818211081012,-4.001639999999991,2.6799187999999954,65.558036,64.11796000000001,-34.372884000000006,-9.371932399999997,32.093424000000006,85.932764,-14.655159999999988,-4.236898799999998,37.83976799999999,72.7044,12.355491999999947,-25.85953599999999,63.86323600000001,50.06372000000002
0.869,4.327946310654063,9.297297384726484,10.030814368561332,1.25823329230473,-11.416973647208595,-11.2441546718965,2.5757567175601728,3.722612987100472,-4.18381399999999,2.757568599999997,65.518367,64.14046,-34.28003700000001,-9.426750599999998,32.002480000000006,85.84414600000001,-14.711608999999992,-4.274445999999999,37.94865599999999,72.61838000000002,13.251949999999953,-25.975297999999995,63.796305,49.67446000000003
0.87,4.327523951333445,9.430047906712515,10.105730287651856,1.2949410609316836,-11.501951291873276,-11.354048369479719,2.58751832798358,3.736407763119932,-4.381219999999989,2.812077999999997,65.48441,64.2058,-34.20351000000001,-9.473537999999996,31.911400000000004,85.76158000000001,-14.755069999999993,-4.30078,38.08487999999999,72.51740000000001,14.088499999999948,-26.030539999999995,63.762150000000005,49.14580000000002
0.871,4.327101592012825,9.562798428698548,10.18064620674238,1.3316488295586373,-11.586928936537957,-11.463942067062936,2.599279938406987,3.750202539139392,-4.578625999999987,2.8665873999999967,65.450453,64.27114,-34.126983,-9.520325399999997,31.820320000000002,85.67901400000001,-14.798530999999992,-4.327113999999999,38.22110399999999,72.41642000000002,14.925049999999944,-26.085781999999995,63.72799500000001,48.617140000000035
0.872,4.326679232692208,9.695548950684579,10.255562125832904,1.3683565981855912,-11.671906581202636,-11.573835764646159,2.6110415488303937,3.7639973151588513,-4.7760319999999865,2.9210967999999964,65.416496,64.33648,-34.050456000000004,-9.567112799999997,31.729240000000004,85.59644800000001,-14.841991999999992,-4.353447999999998,38.357327999999995,72.31544000000001,15.76159999999994,-26.141023999999994,63.69384,48.08848000000004
0.873,4.32625687337159,9.828299472670611,10.330478044923428,1.4050643668125449,-11.756884225867315,-11.683729462229376,2.6228031592538006,3.7777920911783114,-4.973437999999986,2.975606199999996,65.38253900000001,64.40182,-33.973929000000005,-9.613900199999998,31.638160000000006,85.51388200000001,-14.885452999999991,-4.379781999999998,38.493551999999994,72.21446,16.598149999999936,-26.196265999999994,63.659685,47.55982000000004
0.874,4.325834514050971,9.961049994656642,10.405393964013951,1.4417721354394983,-11.841861870531996,-11.793623159812595,2.634564769677208,3.791586867197771,-5.170843999999985,3.030115599999996,65.34858200000001,64.46715999999999,-33.89740200000001,-9.660687599999997,31.54708000000001,85.43131600000001,-14.928913999999992,-4.406115999999998,38.62977599999999,72.11348000000001,17.434699999999932,-26.251507999999998,63.62553,47.03116000000004
0.875,4.325412154730353,10.093800516642675,10.480309883104473,1.4784799040664525,-11.926839515196676,-11.903516857395816,2.646326380100615,3.805381643217231,-5.368249999999984,3.0846249999999955,65.314625,64.5325,-33.82087500000001,-9.707474999999999,31.456000000000007,85.34875000000001,-14.972374999999994,-4.432449999999998,38.765999999999984,72.0125,18.271249999999927,-26.306749999999997,63.591375000000006,46.50250000000005
0.876,4.324989795409734,10.226551038628708,10.555225802194999,1.515187672693406,-12.011817159861359,-12.013410554979036,2.658087990524022,3.8191764192366904,-5.565655999999982,3.139134399999995,65.280668,64.59783999999999,-33.74434800000001,-9.754262399999996,31.36492000000001,85.26618400000001,-15.015835999999995,-4.458783999999998,38.90222399999998,71.91152000000001,19.10779999999992,-26.361991999999997,63.55722000000001,45.973840000000045
